No,연번,브랜드명,사업장명,대표자명,업종(중분류),업종(소분류),주소,경도,위도,상태
1,1,신청기업,신영에스아이(주),박형근,출판업,소프트웨어 개발 및 공급업,서울특별시 용산구  원효로35길 25-0 (원효로3가),126.955963634348,37.5341596262657,정좌표
2,2,신청기업,(주)레드소프트,조용현,출판업,소프트웨어 개발 및 공급업,서울특별시 구로구 디지털로31길 38-21 309호 (이앤씨벤처드림타워3차),126.893713213647,37.4865242844754,정좌표
3,3,신청기업,주식회사에이치케이,이향천,가구 제조업,가구 제조업,경기도 하남시 하남대로 947 6층 606호 (하남테크노밸리U1센터 D동),127.193631641391,37.5458880791096,정좌표
4,4,신청기업,네오컨버전스주식회사,남영진,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"서울 성동구 아차산로 49 1701호 (성수동1가, 서울숲 코오롱디지털타워 Ⅲ)",127.050038142579,37.5467892513722,정좌표
5,5,신청기업,(주)삼성그린기술,설진정,화학물질 및 화학제품 제조업; 의약품 제외,합성고무 및 플라스틱 물질 제조업,경기 평택시 청북읍 청북서로 57 ,126.905351196273,37.046914976105,정좌표
6,6,신청기업,아마다웰드테크코리아,후지모토타카시,전기장비 제조업,절연선 및 케이블 제조업,경기 화성시 동탄하나1길 28 (능동),127.061888284674,37.217127873648,정좌표
7,7,신청기업,(주)HS하이테크,이인오,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,경기 화성시 동탄면 동탄산단2길 68 ,127.089344968941,37.1642481798028,정좌표
8,8,신청기업,주식회사 큐아이티,배정환,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",경기도 수원시 영통구 대학4로 17 402호 (에이스광교타워1 (이의동)),127.046710464031,37.3001659463494,정좌표
9,9,신청기업,(주)틸만코리아,김용원,도매 및 상품 중개업,생활용품 도매업,서울 강남구 봉은사로 628 5층 (삼성동),127.064166929147,37.5146728799944,정좌표
10,10,신청기업,명인선재압연 주식회사,권명길,1차 금속 제조업,1차 철강 제조업,경기도 시흥시  마유로186번길 106 (정왕동),126.734211608566,37.328999206289,정좌표
11,11,신청기업,(주)씨큐프라임,이승열,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,"서울특별시 금천구  가산디지털2로 70 (가산동, 대륭테크노타운19차) 2014호",126.882341572055,37.4747060205172,정좌표
12,12,신청기업,두성산업 주식회사,장일선,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,경기 안산시 상록구 안산테콤1길 36 (사사동),126.928109818776,37.2989277430072,정좌표
13,13,신청기업,영남테크놀로지,임상홍,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,경상북도 경산시 진량읍 공단4로40길 23 (진량읍),128.831107726095,35.8750986220913,정좌표
14,14,신청기업,주식회사 케이시스,여두환,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업","경상남도 창원시 성산구 마디미동로 25, 8층(상남동, 비전빌딩)",128.685809926985,35.221174273313,정좌표
15,15,신청기업,신우산업(주),하경숙,"의료, 정밀, 광학기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전라북도 완주군 봉동읍 테크노밸리2로 123 (봉동읍),127.121516020686,35.9731457844938,정좌표
16,16,신청기업,에스텍(주),오인용,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",영상 및 음향기기 제조업,경남 양산시 유산공단9길 22 (유산동),129.03182639576,35.3717247316642,정좌표
17,17,신청기업,(주)코마츠코리아,"코마츠아키오,윤희준",도매 및 상품 중개업,기계장비 및 관련 물품 도매업,서울 마포구 마포대로 53 A-1007호 (도화동),126.947053908643,37.5414326990878,정좌표
18,18,신청기업,주식회사 켐리시스,허영재,"의료, 정밀, 광학기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",경기도 안양시 동안구  흥안대로427번길 16 (관양동) 1013호,126.973767515609,37.3930070257709,정좌표
19,19,신청기업,에스앤에스밸브주식회사,안병헌,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,경상남도 진주시 정촌면 산업로111번길 29-0 (정촌면) S&S 밸브 진주공장,128.105069841351,35.1253803120582,정좌표
20,20,신청기업,(주)크레스라이트,김동선,전기장비 제조업,전구 및 조명장치 제조업,"경기도 고양시 일산동구  장백로 19 (백석동, 더루벤스카운티) 1018호",126.789212081911,37.6401765780889,정좌표
21,21,신청기업,주식회사 인스팟,김재언,출판업,소프트웨어 개발 및 공급업,서울 강남구 테헤란로14길 6 8층 (역삼동),127.032848942237,37.4989978945261,정좌표
22,22,신청기업,(주)제스큐,황상우,출판업,소프트웨어 개발 및 공급업,서울특별시 금천구 벚꽃로 298 1205호,126.883871728124,37.4814403813235,정좌표
23,23,신청기업,(주)다미화학,"조부선,조광진",도매 및 상품 중개업,기타 전문 도매업,"서울특별시 금천구 가산디지털2로 184 7층 709호 (가산동, 벽산/경인 디지털밸리2)",126.878084323881,37.48424932851,정좌표
24,24,신청기업,(주)비전바이오켐,조철희,도매 및 상품 중개업,상품 종합 도매업,경기 성남시 중원구 갈마치로244번길 31 현대아이밸리 205호 (상대원동),127.177261067804,37.4364278596666,정좌표
25,25,신청기업,(주)덕인,김성철,"의료, 정밀, 광학기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대전 유성구 대덕대로 748 (화암동),127.374087203092,36.3970756328876,정좌표
26,26,신청기업,(주)비투엔,조광원,출판업,소프트웨어 개발 및 공급업,"서울 영등포구 선유로 146 2층 210호 (양평동3가, 이앤씨드림타워)",126.891828722738,37.5268511994587,정좌표
27,27,신청기업,(주)라톤테크,최대량,출판업,소프트웨어 개발 및 공급업,"서울 금천구 디지털로9길 32 B동 15층 1501호 (가산동, 갑을 그레이트밸리)",126.887512477996,37.4795134635663,정좌표
28,28,신청기업,(주)에어바이블,박원석,기타 제품 제조업,그 외 기타 제품 제조업,충북 청주시 서원구 남이면 사동구암로 59 ,127.410056910549,36.572378489882,정좌표
29,29,신청기업,(주)트랜서핑,고신웅,소매업; 자동차 제외,기타 상품 전문 소매업,서울특별시 종로구 율곡로5길 12-2 ,126.985316894445,37.5771515078963,정좌표
30,30,신청기업,(주)알이디테크놀로지,"주재성,호범석",기타 기계 및 장비 제조업,특수 목적용 기계 제조업,대전 유성구 테크노2로 13-10 (관평동),127.391253003385,36.4340113702802,정좌표
