company,salTpNm,minSal,maxSal,holidayTpNm,minEdubg,career,empTpCd,jobsCd,regDt,closeDt,region_1,region_2,basicAddr,smCo,coTp
(주)풀무원녹즙,시급,10000,10000,주5일근무,학력무관,관계없음,20,890006,21-12-17,채용시까지  22-02-16,지역무관,충북 증평군,충청북도 증평군 도안면 원명로 35,N,01
한국조선해양(주),연봉,35020000,0,주5일근무,대졸(2~3년),관계없음,20,029506,22-02-04,22-02-13,서울,서울 종로구,서울특별시 종로구 율곡로 75,N,01
롯데건설㈜,월급,2400000,2600000,주6일근무,학력무관,경력,20,702900,22-02-04,채용시까지  22-03-31,서울,서울 은평구,서울특별시 은평구 수색로 300,N,01
(주) 이마트에브리데이,월급,1676280,1795360,주6일근무,고졸,관계없음,11,617902,22-02-03,채용시까지  22-02-20,서울,서울 강남구,서울특별시 강남구 헌릉로 569,N,01
(주) 이마트에브리데이,월급,1676280,1795360,주6일근무,고졸,관계없음,11,617902,22-02-03,채용시까지  22-02-20,서울,서울 서초구,서울특별시 서초구 방배로 21,N,01
(주) 이마트에브리데이,월급,1676280,1795360,주6일근무,고졸,관계없음,11,617902,22-02-03,채용시까지  22-02-20,서울,서울 동대문구,서울특별시 동대문구 고미술로 49,N,01
(주) 이마트에브리데이,월급,1676280,1795360,주6일근무,고졸,관계없음,11,617902,22-02-03,채용시까지  22-02-20,서울,서울 서초구,서울특별시 서초구 서운로 216,N,01
(주) 이마트에브리데이,월급,1676280,1795360,주6일근무,고졸,관계없음,11,617902,22-02-03,채용시까지  22-02-20,서울,서울 서초구,서울특별시 서초구 사임당로 158,N,01
(주) 이마트에브리데이,월급,1676280,1795360,주6일근무,고졸,관계없음,11,617902,22-02-03,채용시까지  22-02-20,서울,서울 서초구,서울특별시 서초구 반포대로18길 36,N,01
(주) 이마트에브리데이,월급,1676280,1795360,주6일근무,고졸,관계없음,11,617902,22-02-03,채용시까지  22-02-20,서울,서울 강남구,서울특별시 강남구 삼성로 212,N,01
(주)에스텍시스템,월급,2530000,0,주5일근무,고졸,경력,20,834002,22-02-03,채용시까지  22-03-31,서울,서울 서초구,서울특별시 서초구 방배천로 11,N,01
(주)에스텍시스템,월급,2500000,2500000,주5일근무,학력무관,관계없음,20,702901,22-02-03,채용시까지  22-03-27,서울,서울 서초구,서울특별시 서초구 강남대로 589,N,01
(주)에스텍시스템,월급,3300000,3300000,주5일근무,학력무관,경력,20,834002,22-02-03,채용시까지  22-03-27,서울,서울 서초구,서울특별시 서초구 강남대로 589,N,01
(주)오뚜기,연봉,17200000,17200000,주5일근무,고졸,관계없음,20,029500,22-02-03,22-02-28,서울,서울 강남구,서울특별시 강남구 영동대로 308,N,01
삼성생명보험(주),월급,1118000,1118000,주5일근무,학력무관,관계없음,20,029506,22-01-28,22-02-14,서울,서울 강남구,서울특별시 강남구 강남대로 358,N,01
(주)케이티엠앤에스,연봉,30000000,48000000,주5일근무,고졸,관계없음,10,615201,22-01-28,22-02-25,서울,서울 강서구,서울특별시 강서구 화곡로 164,N,01
(주)포스코건설,연봉,40000000,56000000,주5일근무,대졸(2~3년),경력,20,016900,22-01-28,채용시까지  22-02-27,서울,서울 서초구,서울특별시 서초구 신반포로 314,N,01
현대엔지니어링(주),연봉,38000000,50000000,주6일근무,대졸(2~3년),경력,20,140204,22-01-28,채용시까지  22-03-26,서울,서울 서초구,서울특별시 서초구 동산로 23,N,01
(주) 이마트에브리데이,월급,1676280,1795360,주6일근무,고졸,관계없음,11,617902,22-01-27,채용시까지  22-02-14,서울,서울 동작구,서울특별시 동작구 서달로 158,N,01
롯데건설㈜,월급,3000000,3500000,주5일근무,대졸(2~3년),관계없음,20,140206,22-01-27,채용시까지  22-03-26,서울,서울 강남구,서울특별시 강남구 언주로 712,N,01
(주)케이티씨에스,월급,2030000,0,주5일근무,학력무관,관계없음,10,029202,22-01-26,22-02-25,서울,서울 구로구,서울특별시 구로구 가마산로 291,N,01
(주)케이티엠앤에스,연봉,28000000,45000000,주5일근무,고졸,관계없음,20,615202,22-01-26,22-02-28,서울,서울 관악구,서울특별시 관악구 법원단지길 12,N,01
한국미니스톱(주),월급,2231310,2231310,주5일근무,고졸,관계없음,20,027100,22-01-26,22-02-06,서울,서울 서초구,서울특별시 서초구 효령로 11,N,01
롯데건설㈜,연봉,45000000,60000000,주5일근무,학력무관,경력,20,140206,22-01-26,채용시까지  22-03-24,서울,서울 광진구,서울특별시 광진구 아차산로 384-1,N,01
현대엔지니어링(주),연봉,40000000,45000000,주5일근무,고졸,경력,20,140200,22-01-25,채용시까지  22-03-24,서울,서울 종로구,서울특별시 종로구 율곡로 75,N,01
하나은행,시급,10000,0,주5일근무,학력무관,신입,21,029506,22-01-25,채용시까지  22-03-11,서울,서울 중구,서울특별시 중구 을지로 35,N,01
하나은행,시급,10000,0,주5일근무,학력무관,관계없음,21,032401,22-01-25,채용시까지  22-03-04,서울,서울 종로구,서울특별시 종로구 종로 26,N,01
(주)에스텍시스템,월급,2500000,0,주5일근무,고졸,관계없음,10,541901,22-01-25,채용시까지  22-03-20,서울,서울 서초구,서울특별시 서초구 반포대로 58,N,01
현대엔지니어링(주),연봉,48000000,55000000,주5일근무,고졸,경력,10,702901,22-01-25,채용시까지  22-02-08,서울,서울 용산구,서울특별시 용산구 원효로 74,N,01
DGB생명보험(주),월급,1920000,1920000,주5일근무,학력무관,관계없음,20,029506,22-01-24,채용시까지  22-03-23,서울,서울 중구,서울특별시 중구 남대문로 125,N,01
(주)전북은행,월급,1914440,1914440,주5일근무,학력무관,관계없음,20,029506,22-01-24,22-02-07,서울,서울 마포구,서울특별시 마포구 양화로 85,N,01
롯데건설㈜,월급,2500000,0,주6일근무,학력무관,경력,20,702900,22-01-24,채용시까지  22-03-23,서울,서울 은평구,서울특별시 은평구 은평로 220,N,01
한신공영(주),연봉,35000000,55000000,주5일근무,학력무관,경력,20,140206,22-01-24,채용시까지  22-03-21,서울,서울 용산구,서울특별시 용산구 한강대로 37,N,01
푸르덴셜생명보험,연봉,30000000,0,주5일근무,대졸(4년),관계없음,10,012400,22-01-21,채용시까지  22-03-10,서울,서울 서초구,서울특별시 서초구 강남대로 285,N,01
(주) 이마트에브리데이,월급,1676280,1676280,주6일근무,고졸,관계없음,11,617902,22-01-20,채용시까지  22-02-06,서울,서울 양천구,서울특별시 양천구 목동서로 130,N,01
현대엔지니어링(주),연봉,50000000,70000000,주5일근무,고졸,경력,20,013901,22-01-20,채용시까지  22-02-06,서울,서울 마포구,서울특별시 마포구 월드컵북로56길 19,N,01
현대건설(주),월급,2000000,4000000,주6일근무,학력무관,관계없음,20,702200,22-01-19,채용시까지  22-03-17,서울,서울 종로구,서울특별시 종로구 율곡로 75,N,01
현대건설(주),월급,2000000,4000000,주6일근무,학력무관,관계없음,20,702100,22-01-19,채용시까지  22-03-17,서울,서울 종로구,서울특별시 종로구 율곡로 75,N,01
현대건설(주),월급,2000000,4000000,주6일근무,학력무관,관계없음,20,702501,22-01-19,채용시까지  22-03-17,서울,서울 종로구,서울특별시 종로구 율곡로 75,N,01
현대건설(주),월급,2000000,4000000,주6일근무,학력무관,관계없음,20,702401,22-01-19,채용시까지  22-03-17,서울,서울 종로구,서울특별시 종로구 율곡로 75,N,01
현대건설(주),월급,2000000,4000000,주6일근무,학력무관,관계없음,20,834004,22-01-19,채용시까지  22-03-17,서울,서울 종로구,서울특별시 종로구 율곡로 75,N,01
현대건설(주),월급,2000000,4000000,주6일근무,학력무관,관계없음,20,016900,22-01-19,채용시까지  22-03-17,서울,서울 종로구,서울특별시 종로구 율곡로 75,N,01
현대엔지니어링(주),연봉,28000000,30000000,주5일근무,학력무관,경력,20,027203,22-01-19,채용시까지  22-03-17,서울,서울 강서구,서울특별시 강서구 공항대로 212,N,01
현대엔지니어링(주),연봉,38000000,42000000,주5일근무,대졸(2~3년),경력,20,140200,22-01-19,채용시까지  22-03-17,서울,서울 강서구,서울특별시 강서구 공항대로 212,N,01
