company,num
희망을심는나무사회적협동조합,100
(주)지이,100
(주)티아이,100
(주)코리아리서치인터내셔널,100
(주)코그,100
(주)캐프,100
(주)충청투데이,100
(주)천하,100
(주)종합건축사사무소그룹케이,100
스포츠투아이(주),100
(주)제이콘,100
(주)제우스,100
(주)원창,100
(주)원금산업,100
(주)온오프믹스,100
(주)오토닉스,100
(주)팟빵,100
(주)하이메디,100
(주)하이텍,100
(주)한국몰드,100
(주)한성식품,100
(주)한스,100
KB오토시스(주),100
강릉초당두부,100
갬콤(주),100
나무와열매사회적협동조합,100
디자인글꼴,100
디케이(주),100
뚝배기식품,100
미래로21병원,100
비타민하우스(주),100
삼덕통상(주),100
세우리병원,100
(주)오이솔루션,100
(주)오디텍,100
(주)엘케이,100
(주)명정보기술,100
(사)문화프로덕션도모,100
(주)건우,100
(주)경보제약,100
(주)금화,100
(주)대양,100
(주)대정,100
(주)대진,100
(주)대호,100
(주)동신밴드,100
(주)동인,100
(주)랩지노믹스,100
(주)리서치앤리서치,100
(주)리스트,100
(주)명성,100
(주)미정,100
(주)에이스프로젝트,100
(주)보림,100
(주)사람인충주돌봄,100
(주)산이앤씨건축사사무소,100
(주)산타,100
(주)서울식품,100
(주)서한,100
(주)성일,100
(주)성창,100
(주)세신정밀,100
(주)신흥,100
(주)씨유메디칼시스템,100
(주)아시아경제,100
(주)아진엑스텍,100
(주)애드바이오텍,100
세종내과영상의학과의원,100
(사)마당극패우금치,100
자연,100
충북여성새로일하기지원본부,100
여성아이병원,100
아진산업(주),100
아주스틸(주),100
온플러스,100
원광제약(주),100
웰빙헬스팜,100
아미코젠(주),100
제일병원,100
주성엔지니어링(주),100
진주우리먹거리협동조합진주텃밭,100
신화건설(주),100
안성의료복지사회적협동조합,100
한국종합환경산업(주),100
현대특수철강공업,100
한주금속(주),100
한국프라임제약(주),100
한양상사,100
벽진BIO텍,99
거산무역상사,96
(주)성진포머,95
(주)해마,92
(주)동구기업,88
경향셀(유),87
(주)지지옥션,87
(주)아트피큐,86
(주)진학어플라이,84
(주)슈피겐코리아,84
(주)동성화학,83
(주)대창식품,83
(주)팩토리얼게임즈,83
(주)보템,83
린노알미늄(주),83
대주코레스(주),82
한국에어로(주),82
한국통합민원센터(주),80
(주)인젠트,79
(주)티에이치엔,77
(주)석원,77
(주)대화연료펌프,76
(주)맥스로텍,74
(주)에버미라클,74
에스앤케이항공(주),73
한국알콜산업(주),73
티아이씨(주),73
(주)우리로,73
(주)자연애,73
오로라월드(주),72
(주)화인테크놀리지,72
(주)에스엠테크,72
(주)지앤지커머스,71
(주)토탈소프트뱅크,71
대아산업(주),70
(주)브라이튼,69
(주)지이테크,66
영풍전자(주),65
에스티팜(주),65
성원메디칼(주),64
(주)휴니드테크놀러지스,64
(주)나노하이테크,64
(주)피피아이,64
노무법인명장,64
(주)세명기업,64
(유)한성산기,64
(주)삼원중공업,63
전일목재산업(주),63
(주)고영테크놀러지,62
(주)구일엔지니어링,62
(주)엔코아네트웍스,62
(주)익성,62
이디에스(주),62
(주)링크옵틱스,61
(주)인아트,59
(주)엠큐어,59
서호전기(주),59
(주)인성메디칼,58
(주)디알텍,58
(주)럭키산업,55
(주)보국전자,55
(주)디카팩,55
세진산업(주),55
(주)홍성건설,54
(주)티에스엠,53
일륭기공(주),53
(주)신창메디칼,53
(주)사랑방미디어,52
(주)대성엔지니어링,52
