selYear,sgBrandNm,coNm,alwaysWorkerCnt
2021,기술혁신형 중소기업(이노비즈),주식회사미래금속,14
2021,기술혁신형 중소기업(이노비즈),(주)선진인더스트리,31
2021,기술혁신형 중소기업(이노비즈),(주)젠티스,26
2021,기술혁신형 중소기업(이노비즈),한국에너지종합기술 주식회사,47
2021,기술혁신형 중소기업(이노비즈),디지테크정보(주),34
2021,기술혁신형 중소기업(이노비즈),신성오토텍 주식회사,27
2021,기술혁신형 중소기업(이노비즈),(주)미가이엔지,14
2021,기술혁신형 중소기업(이노비즈),(주)옵티팜,59
2021,기술혁신형 중소기업(이노비즈),진성테크윈(주),37
2021,기술혁신형 중소기업(이노비즈),주식회사 후엔지니어링,16
2021,기술혁신형 중소기업(이노비즈),(주)대진기계,45
2021,기술혁신형 중소기업(이노비즈),(주)케이닷컴,17
2021,기술혁신형 중소기업(이노비즈),(주)세미즈,25
2021,기술혁신형 중소기업(이노비즈),아이엔테코(주),27
2021,기술혁신형 중소기업(이노비즈),유창지엠티(주),11
2021,기술혁신형 중소기업(이노비즈),(주)천우티이엠,13
2021,기술혁신형 중소기업(이노비즈),제이케이앤디주식회사,51
2021,기술혁신형 중소기업(이노비즈),에솜주식회사,35
2021,기술혁신형 중소기업(이노비즈),(주)페네시아,9
2021,기술혁신형 중소기업(이노비즈),(주)지오메디,16
2021,기술혁신형 중소기업(이노비즈),삼우자동화개발기계,12
2021,기술혁신형 중소기업(이노비즈),(주)창보,19
2021,기술혁신형 중소기업(이노비즈),주식회사농업회사법인성마리오농장,15
2021,기술혁신형 중소기업(이노비즈),(주)스마트라인,26
2021,기술혁신형 중소기업(이노비즈),아프로코리아(주),19
2021,기술혁신형 중소기업(이노비즈),명전바이오주식회사,11
2021,기술혁신형 중소기업(이노비즈),엘엠엘리베이터(주),14
2021,기술혁신형 중소기업(이노비즈),(주)다전디자인그룹,41
2021,기술혁신형 중소기업(이노비즈),대영에스앤씨,27
2021,기술혁신형 중소기업(이노비즈),주식회사엠엠티에스엠,55
2021,기술혁신형 중소기업(이노비즈),(주)세창스틸,14
2021,기술혁신형 중소기업(이노비즈),농업회사법인(주) 진영케이지,20
2021,기술혁신형 중소기업(이노비즈),(주)부앤부프로덕션,25
