busiNo,compNm,Q,A
3058140342,(주)예람,회사의 주력 분야 등 간단한 회사 소개를 해주세요.,"1999년도에 창립하여 19년째 운영중인 ㈜예람의 주력 사업 분야 중 첫 번째는 입찰정보관련 사업입니다. 건설업체들의 효율적인 입찰정보를 위해 맞춤형 정보를 제공하는 사이트 전기넷, 아이건설넷을 운영하며 현재 유/무료회원 총 3만명의 회원이 있습니다. 
두 번째 사업으로는 영어교육 사업입니다. 2004년부터 새롭게 시작된 이 사업은 어학원에 영어 교육을 위한 컨텐츠, 솔루션과 영어전자책을 제공하고 있습니다. 현재 10개국에서 이 사업을 이용 중이며, 내년에는 20개국을 목표로 글로벌화를 목표로 하고 있습니다."
3058140342,(주)예람,회사의 장기적인 목표나 경영 철학이 있으신가요?,"경영 철학이자 회사의 4대 이념으로 가치, 인정, 나눔, 신용이 있습니다. 
가치 : 정직한 과정속에서 이익창출
인정 : 하나님의 주권과 직원, 고객, 사회를 인정,
나눔 : 기업의 이익을 이웃과 나눔
신용 : 신뢰받는 기업으로의 성장
4대 이념을 몸소 실천하며 그를 바탕으로 목표달성을 하고자 합니다."
3058140342,(주)예람,타사와 비교했을 때 귀사의 장점은 무엇인가요?,"직원의 성장을 위해 전폭적인 지원을 합니다. 업무관련 역량을 위한 내/외부 교육지원, 도서구입비를 무제한 지원하고 있습니다. 더불어 직원들과의 협업을 이루고, 관심있는 분야를 연구하고 체험해볼 수 있는 ‘학습조(단기간 동아리)’를 운영합니다. ‘배움의 즐거움을 느끼고 이를 함께 나누자’라는 목표하에 직원들에게 인기가 좋은 교육활동입니다. 마지막으로 건전한 회식 문화가 있습니다. 술자리를 갖지 않고 함께 식사 및 문화활동 등을 즐기며 ‘워라밸’을 지키기 위한 회식 문화가 자리 잡고 있습니다."
3058140342,(주)예람,회사의 채용절차 및 선호하는 인재상은 어떻게 되나요?,"주로 배움에 대한 열정, 올바른 인성을 갖춘 인재를 선호합니다. 채용절차는 1차 서류전형 및 직무적합성검사 다음으로 2,3차 실무자와 임원진 면접을 진행합니다. 합격 후에는 3개월간의 인턴기간을 가지며 근무평가를 통해 정규직으로 전환됩니다."
3058140342,(주)예람,신입 평균 급여수준 및 인사 제도 현황에 대해 알 수 있나요?,"신입 평균 급여는 올해 2,200만원입니다. 연봉 외에는 부서 성과에 따른 성과급 제도가 있습니다. 인사제도는 인턴-사원-주임-대리-과장-차장 순으로 있으며 보통 승진하는 데 2~4년 정도 걸립니다. 하지만 회사 내에서 주로 팀원, 파트장, 팀장, 본부장, 임원 순으로 연차 수가 아닌 역량 중심으로 직책을 나눕니다."
3058140342,(주)예람,신입사원 육성방법 또는 인재육성 로드맵이 있나요?,"신입사원을 대상으로 부서에 따른 직무 교육, 기수별 사내문화적응과정이 진행됩니다. 예람에 대한 전반적인 내용과 사원으로서 갖춰야할 업무/인성 역량 등에 대해 교육합니다.  인재육성 프로그램으로는 다양한 교육이 있습니다. 이는 내외부 강의를 통해 업무/인성 역량을 성장하는데에 목표를 두고 있습니다. 직원 성장에 아낌없이 투자하는 편이며 연간 평균 직원당 100만원 정도의 교육비를 지원하고 있습니다."
3058140342,(주)예람,주요 복리후생은 어떻게 되나요?,"기본적으로 우수사원 포상, 퇴직연금, 인센티브제(조직 및 개인 성과와 연계), 연차/경조휴가, 산/전후휴가, 육아휴직, 석식제공, 명절선물, 생일파티, 교육/도서구입비/어학원 교육비 지원, 사옥 내 카페, 식당 할인 등이 있습니다."
3058140342,(주)예람,기업의 전반적인 근무 환경(조직문화 및 근무 분위기)은 어떻다고 생각하시나요?,"수평적인 구조로 사원들도 자유롭게 의견을 내고 또 수렴되는 편입니다. 야근을 최대한 지양하며 직원들의 워라밸을 중시합니다. 더불어 긍정적인 말 쓰기 캠페인, 직원 간 감사/칭찬하기 문화를 통해 경쟁 보다는 서로 존중하고 친화적인 분위기입니다."
3058140342,(주)예람,다양한 사업을 하고 있는데 이에 관련하여 관련 분야를 전공해야 하나요?,전공분야 또는 자격증 여부도 중요하겠지만 그보다 직무별 실제 역량과 해당 직무경험이력에 대하여 평가합니다.
3058140342,(주)예람,이번 청년 친화 강소기업에 선정 되셨는데 소감이 어떠신가요?,"대전, 충남지역 청년분들에게 ㈜예람을 홍보할 수 있는 좋은 기회라고 생각합니다."
